0,1,2,3,4,,,,,,,
10,0.343193421,0.620900227,0.561598408,0.31337108,,,FEATURE,CORR. PREDICC PM.,PRECISION DISP PM.,PROB PREDECIR DISPON PM.,ERROR REL PM.
10,0.147870555,0.556190289,0.510103383,0.073170732,,,10,0.278533167,0.602855314,0.559145323,0.13796385
10,0.348446672,0.629666109,0.582474227,0.098432056,,,20,0.365344905,0.628984521,0.569668885,0.294114697
10,0.342907211,0.629961588,0.587069864,0.044207317,,,30,0.375053342,0.631288858,0.568933126,0.349410866
10,0.273188381,0.603466956,0.567316841,0.084494774,,,40,0.379738681,0.631674405,0.567132427,0.389244211
10,0.350163809,0.623362553,0.573563218,0.136759582,,,50,0.381794351,0.630230397,0.564265119,0.425108244
10,0.339460334,0.620407761,0.568791946,0.168118467,,,60,0.383064166,0.632471543,0.565975989,0.424661852
10,0.345875241,0.626120359,0.574587706,0.162020906,,,70,0.381780578,0.631758645,0.564611573,0.440368179
10,0.260072186,0.594996553,0.560667341,0.138501742,,,80,0.380673918,0.632998116,0.566241582,0.428390351
10,0.130232441,0.563281789,0.520153061,0.146341463,,,90,0.379126853,0.631838578,0.564688862,0.442824226
10,0.295834935,0.610853935,0.573123431,0.045513937,,,100,0.377347647,0.63082381,0.564137011,0.444043908
10,0.349733818,0.632325421,0.600093218,0.06554878,,,110,0.374661635,0.630446633,0.563600816,0.448815645
10,0.349137704,0.627991727,0.587918015,0.009364111,,,120,0.374011853,0.630596435,0.56351608,0.452485702
10,0.2426578,0.585048754,0.556753519,0.272865854,,,,,,,
10,0.264259593,0.594011622,0.564953013,0.212108014,,,,,,,
10,0.356649162,0.628287206,0.571829996,0.239982578,,,,,,,
10,0.282177746,0.60553531,0.568081652,0.06119338,,,,,,,
10,0.290000777,0.609967497,0.561051005,0.1271777,,,,,,,
10,0.32734855,0.620112282,0.577876669,0.027656794,,,,,,,
10,0.326101551,0.615384615,0.565143182,0.148301394,,,,,,,
10,0.336311458,0.624839949,0.584502482,0.008928571,,,,,,,
10,0.327420621,0.619028858,0.578798433,0.00043554,,,,,,,
10,0.320725872,0.621491185,0.578200042,0.042900697,,,,,,,
10,0.301353684,0.607899143,0.561779575,0.076872822,,,,,,,
10,0.225750869,0.587215601,0.544017563,0.008057491,,,,,,,
10,0.288828997,0.610656949,0.569051221,0.007621951,,,,,,,
10,0.33647495,0.619127352,0.567216762,0.174433798,,,,,,,
10,0.317184536,0.619422831,0.57027027,0.12804878,,,,,,,
10,0.259607642,0.596572442,0.570938215,0.238675958,,,,,,,
10,0.290218237,0.603269969,0.564178425,0.043118467,,,,,,,
10,0.331029119,0.621195706,0.575171302,0.080574913,,,,,,,
10,0.319804058,0.617551463,0.56782093,0.138283972,,,,,,,
10,0.317156137,0.614301192,0.566509248,0.106707317,,,,,,,
10,0.356146991,0.629764602,0.590800087,0.00108885,,,,,,,
10,0.329818595,0.619816803,0.575277664,0.058797909,,,,,,,
10,0.249906196,0.593913129,0.55622153,0.091681185,,,,,,,
10,0.293239791,0.607899143,0.557263355,0.161803136,,,,,,,
