CH1,CH2,CH3,CH4,CH5
-75.545,-64.051,-74.46,-50.81,-85.207
-70.077,-67.184,-74.117,-40.793,-85.196
-77.258,-66.76,-72.366,-39.775,-85.344
-80.727,-69.215,-70.872,-41.043,-83.859
-77.657,-65.754,-74.862,-39.171,-84.7
-75.954,-63.993,-70.921,-40.67,-85.603
-72.568,-67.171,-74.304,-42.562,-85.1
-75.355,-70.15,-72.446,-41.744,-83.593
-76.988,-68.491,-75.9,-38.495,-86.208
-73.331,-65.92,-74.128,-40.309,-85.447
-72.527,-69.447,-73.342,-41.229,-85.599
-73.204,-69.766,-69.91,-39.001,-84.685
-71.704,-68.237,-71.088,-39.146,-83.893
-70.728,-68.103,-70.59,-42.944,-84.478
-70.92,-70.965,-72.682,-40.851,-85.826
-77.887,-70.608,-74.348,-44.207,-85.807
-72.827,-68.912,-71.321,-45.179,-82.786
-78.694,-68.775,-69.752,-41.343,-86.188
-71.845,-72.051,-68.381,-39.221,-84.735
-69.56,-67.076,-72.706,-46.282,-83.695
-75.053,-72.791,-71.032,-41.213,-84.325
-74.352,-71.771,-72.625,-40.753,-84.829
-71.437,-72.003,-71.826,-50.356,-84.805
-81.457,-70.129,-70.178,-43.621,-85.282
-76.444,-67.952,-73.391,-46.131,-85.64
-76.405,-65.428,-71.619,-45.755,-85.334
-76.18,-72.258,-71.771,-42.203,-85.535
-75.818,-73.141,-73.102,-39.942,-85.722
-82.713,-68.82,-72.54,-44.092,-83.048
-76.199,-67.291,-71.96,-47.148,-84.886
-72.56,-73.52,-74.758,-46.001,-83.951
-76.085,-67.87,-74.586,-44.904,-85.607
-76.129,-67.515,-72.739,-43.958,-85.956
-78.605,-67.707,-74.672,-46.464,-86.436
-73.389,-72.199,-72.35,-40.334,-84.217
-78.027,-72.937,-73.153,-44.567,-84.845
-74.175,-74.237,-73.837,-42.341,-85.512
-76.052,-74.825,-74.858,-42.046,-85.697
-81.467,-76.27,-74.793,-47.177,-85.574
-80.048,-72.309,-68.067,-44.68,-85.143
-79.6,-71.359,-69.121,-43.451,-84.618
-77.072,-69.981,-68.871,-54.544,-85.425
-77.703,-70.544,-64.377,-42.88,-85.377
-78.866,-72.772,-71.618,-45.211,-85.344
-74.744,-73.187,-69.776,-44.203,-86.443
-80.364,-72.459,-69.92,-41.819,-84.101
-82.702,-74.753,-70.942,-53.643,-84.752
-83.582,-74.327,-72.981,-48.397,-85.676
